Strike,CE_LTP,CE OI,CE Volume,CE Price Change,CE Price % Change,PE_LTP,PE OI,PE Volume,PE Price Change,PE Price % Change,CE IV,PE IV,CE Delta,CE Gamma,CE Theta,CE Decay,CE Vega,PE Delta,PE Gamma,PE Theta,PE Decay,PE Vega,Expiry,Spot,OI PCR,PE/CE Vol Ratio,CE OI Open,PE OI Open,CE OI Change,PE OI Change,CE OI Change %,PE OI Change %,OI PCR Change,Distance,Status
21500,2483.7,0,0,0.0,0.0,1.4,3118050,5557435,-0.55,-28.21,34.43,34.43,0.9958,1.2e-05,-1.12,-2.49,0.3795,-0.0042,1.2e-05,-1.12,-0.51,0.3795,07Jul2026,24082.0,0.0,0.0,0,2270580,0,847470,0.0,37.32,0.0,2582.0,ITM CE / OTM PE
22000,2016.45,5005,520,36.45,1.84,1.85,6310395,11800685,-0.55,-22.92,29.01,29.01,0.9936,2e-05,-1.37,-2.65,0.5479,-0.0064,2e-05,-1.37,-0.62,0.5479,07Jul2026,24082.0,1260.82,22693.62,5005,5618340,0,692055,0.0,12.32,0.0,2082.0,ITM CE / OTM PE
22300,1592.85,65,130,-87.15,-5.19,1.95,978835,3696680,-0.7,-26.42,25.28,25.28,0.9924,2.7e-05,-1.39,-2.68,0.6389,-0.0076,2.7e-05,-1.39,-0.63,0.6389,07Jul2026,24082.0,15059.0,28436.0,0,785655,65,193180,0.0,24.59,2972.0,1782.0,ITM CE / OTM PE
22450,1728.4,65,130,451.35,35.34,2.2,203905,1341535,-0.6,-21.43,36.7,36.7,0.9381,0.00011,-11.71,-8.09,3.7101,-0.0619,0.00011,-11.71,-6.02,3.7101,07Jul2026,24082.0,3137.0,10319.5,0,113490,65,90415,0.0,79.67,1391.0,1632.0,ITM CE / OTM PE
22500,1533.55,17160,4355,71.0,4.85,2.1,4507750,18210725,-0.85,-28.81,22.88,22.88,0.9911,3.5e-05,-1.45,-2.72,0.7342,-0.0089,3.5e-05,-1.45,-0.65,0.7342,07Jul2026,24082.0,262.69,4181.57,16185,4013295,975,494455,6.02,12.32,507.13,1582.0,ITM CE / OTM PE
22600,1360.0,0,0,0.0,0.0,2.35,1785160,10409750,-0.7,-22.95,21.88,21.88,0.9897,4.1e-05,-1.57,-2.79,0.8316,-0.0103,4.1e-05,-1.57,-0.71,0.8316,07Jul2026,24082.0,0.0,0.0,0,980265,0,804895,0.0,82.11,0.0,1482.0,ITM CE / OTM PE
22650,692.0,0,0,0.0,0.0,2.55,491855,3500965,-0.7,-21.54,21.44,21.44,0.9887,4.6e-05,-1.66,-2.84,0.901,-0.0113,4.6e-05,-1.66,-0.75,0.901,07Jul2026,24082.0,0.0,0.0,0,332540,0,159315,0.0,47.91,0.0,1432.0,ITM CE / OTM PE
22700,1263.7,0,0,5.95,0.47,2.55,1229865,8942635,-0.8,-23.88,20.76,20.76,0.9884,4.8e-05,-1.65,-2.84,0.9239,-0.0116,4.8e-05,-1.65,-0.75,0.9239,07Jul2026,24082.0,0.0,0.0,0,1052220,0,177645,0.0,16.88,0.0,1382.0,ITM CE / OTM PE
22800,1228.1,13650,2340,63.8,5.48,2.9,3264365,13249340,-0.8,-21.62,19.76,19.76,0.9863,5.8e-05,-1.8,-2.92,1.0616,-0.0137,5.8e-05,-1.8,-0.82,1.0616,07Jul2026,24082.0,239.15,5662.11,13065,2487355,585,777010,4.48,31.24,1328.22,1282.0,ITM CE / OTM PE
22850,1068.1,0,0,0.0,0.0,2.85,586560,5002855,-1.05,-26.92,19.03,19.03,0.9861,6.1e-05,-1.77,-2.9,1.0787,-0.0139,6.1e-05,-1.77,-0.8,1.0787,07Jul2026,24082.0,0.0,0.0,0,783900,0,-197340,0.0,-25.17,0.0,1232.0,ITM CE / OTM PE
22900,1120.95,42315,3705,63.6,6.02,3.0,2486250,13634725,-1.05,-25.93,18.47,18.47,0.985,6.7e-05,-1.83,-2.93,1.1483,-0.015,6.7e-05,-1.83,-0.83,1.1483,07Jul2026,24082.0,58.76,3680.09,42185,2424110,130,62140,0.31,2.56,478.0,1182.0,ITM CE / OTM PE
22950,1088.4,195,455,115.4,11.86,3.2,988065,5881070,-1.2,-27.27,17.95,17.95,0.9837,7.4e-05,-1.91,-2.98,1.2338,-0.0163,7.4e-05,-1.91,-0.86,1.2338,07Jul2026,24082.0,5067.0,12925.43,195,935545,0,52520,0.0,5.61,0.0,1132.0,ITM CE / OTM PE
23000,1028.9,185965,78845,67.2,6.99,3.6,7185880,27361490,-1.5,-29.41,17.55,17.55,0.9816,8.5e-05,-2.07,-3.06,1.3729,-0.0184,8.5e-05,-2.07,-0.94,1.3729,07Jul2026,24082.0,38.64,347.03,187330,6750185,-1365,435695,-0.73,6.45,-319.19,1082.0,ITM CE / OTM PE
23050,996.0,1040,1105,88.25,9.72,3.65,1008865,6574620,-1.8,-33.03,16.87,16.87,0.9807,9.2e-05,-2.08,-3.06,1.4294,-0.0193,9.2e-05,-2.08,-0.94,1.4294,07Jul2026,24082.0,970.06,5949.88,585,1030770,455,-21905,77.78,-2.13,-48.14,1032.0,ITM CE / OTM PE
